,City,Clouds,Country,Humidity,Latitude,Temperature,Wind Speed
0,Kovdor,76,RU,77,67.56,52.71,6.06
1,Hobart,75,AU,57,-42.88,51.8,12.75
2,Norman Wells,90,CA,93,65.28,48.2,18.34
3,Muriwai Beach,56,NZ,72,-36.82,60.8,14.99
4,Turayf,0,SA,69,31.68,75.2,8.05
5,Port Alfred,88,ZA,100,-33.59,54.69,7.96
7,Cape Town,0,ZA,81,-33.93,46.4,6.93
8,Mataura,92,NZ,86,-46.19,47.13,6.51
9,Sitka,12,US,84,37.17,76.51,8.86
10,Hilo,90,US,83,19.71,78.21,4.7
11,Kutum,0,SD,89,14.2,65.67,6.29
12,Punta Arenas,75,CL,89,-53.16,41.0,19.46
13,Eyl,0,SO,76,7.98,79.62,25.75
14,Butaritari,24,KI,100,3.07,83.89,7.4
15,Hermanus,8,ZA,100,-34.42,33.04,3.6
16,Esperance,0,TT,78,10.24,80.6,3.36
17,Mopti,0,ML,88,14.49,78.8,10.76
18,Ushuaia,75,AR,60,-54.81,41.0,17.22
19,Qaanaaq,76,GL,100,77.48,34.98,4.38
21,Talnakh,12,RU,75,69.49,52.75,13.67
22,Vaini,92,IN,99,15.34,68.41,7.18
23,Souillac,92,FR,82,45.6,64.4,6.93
25,Boende,48,CD,92,-0.28,74.67,3.6
26,Leningradskiy,88,RU,100,69.38,33.27,12.55
27,Bluff,0,AU,33,-23.58,62.79,4.94
30,Yumen,8,CN,37,40.29,65.8,7.18
31,Geraldton,75,CA,93,49.72,62.6,4.7
32,Kaitangata,68,NZ,91,-46.28,46.81,5.5
33,Djambala,68,CG,90,-2.55,70.89,4.5
34,Clyde River,90,CA,93,70.47,39.2,6.93
35,Severo-Kurilsk,80,RU,97,50.68,52.93,4.83
37,Arraial do Cabo,75,BR,88,-22.97,69.8,12.75
38,Adrar,8,DZ,18,27.87,93.2,9.17
39,Jamestown,0,AU,71,-33.21,52.21,10.42
40,Cizre,0,TR,64,37.33,69.58,1.59
41,Chuy,88,UY,95,-33.69,53.56,11.54
42,Sarangani,0,PH,98,5.4,83.71,8.41
43,Pisco,90,PE,82,-13.71,62.6,3.36
44,Katsina,76,NG,84,12.99,74.49,6.4
45,Busselton,64,AU,100,-33.64,54.28,29.55
46,Lompoc,1,US,27,34.64,76.95,11.41
47,Barrow,0,AR,91,-38.31,41.91,16.02
48,Muswellbrook,0,AU,79,-32.27,54.24,3.71
49,Port Hardy,20,CA,77,50.7,62.6,6.93
50,Serebryansk,5,KZ,87,49.68,57.2,1.7
51,Salalah,90,OM,94,17.01,78.8,1.12
52,Rikitea,12,PF,100,-23.12,74.49,10.09
54,Airai,0,TL,66,-8.93,72.96,2.26
55,Chokurdakh,0,RU,80,70.62,45.91,10.76
56,Ponta do Sol,36,BR,94,-20.63,61.08,5.5
57,East London,80,ZA,100,-33.02,57.84,9.64
58,Hithadhoo,12,MV,100,-0.6,82.36,4.38
59,Puerto Ayora,75,EC,73,-0.74,73.4,13.87
60,Uryupinsk,0,RU,70,50.8,59.91,8.52
62,Upernavik,100,GL,96,72.79,39.7,12.44
63,New Norfolk,75,AU,57,-42.78,51.8,12.75
64,Lata,68,IN,100,30.78,58.56,1.59
65,Griffin,1,US,78,33.25,79.56,4.05
66,Gat,75,SN,78,14.69,82.4,6.93
67,Castro,88,CL,79,-42.48,44.74,4.38
68,Atuona,32,PF,99,-9.8,79.84,18.25
69,Mount Gambier,92,AU,91,-37.83,51.18,8.52
70,Semnan,8,IR,44,35.58,70.71,3.27
71,Kapaa,40,US,66,22.08,85.21,20.8
72,Tuy Hoa,92,VN,100,13.08,76.83,18.81
73,Seydi,76,NE,84,13.34,74.49,6.4
74,Westport,20,IE,100,53.8,51.31,8.63
75,Noumea,0,NC,44,-22.28,77.0,14.99
77,Foix,90,FR,88,42.97,77.0,12.75
78,Arman,40,RU,72,59.7,66.2,5.17
79,Palana,88,RU,98,59.08,55.23,2.93
80,Khem Karan,40,IN,83,31.14,79.9,5.82
81,Yulara,0,AU,18,-25.24,64.4,9.17
82,Vanimo,24,PG,100,-2.67,82.99,12.44
83,San Patricio,0,PY,74,-26.98,52.62,5.73
84,Madison,20,US,65,43.07,75.2,7.74
87,Hohhot,0,CN,69,40.81,73.4,4.47
88,Seddon,0,NZ,99,-41.67,52.75,2.93
89,Carnarvon,0,ZA,51,-30.97,31.78,15.12
90,Port Elizabeth,20,US,83,39.31,83.08,8.19
91,Fortuna,20,ES,88,38.18,78.8,4.7
92,Naze,75,NG,94,5.43,75.2,4.72
94,Flagstaff,1,US,27,35.2,69.53,12.75
95,Richards Bay,32,ZA,99,-28.77,52.17,4.05
96,Kirs,32,RU,74,59.34,51.81,10.09
97,Honiara,75,SB,66,-9.43,84.2,3.36
98,Shenjiamen,0,CN,92,29.96,83.67,5.5
99,Tual,32,ID,96,-5.67,80.11,13.78
100,Biak,88,ID,97,-0.91,76.96,4.94
101,Constitucion,90,MX,44,23.99,75.2,8.05
102,Albany,90,US,88,42.65,74.1,6.93
103,Olden,68,NO,95,61.84,49.06,1.59
104,Padang,88,ID,100,-0.92,78.85,5.61
105,Port Lincoln,0,AU,91,-34.72,56.31,20.04
106,Hirado,75,JP,62,33.32,86.0,12.75
107,San Jose,92,PH,100,15.79,71.61,1.14
108,Vardo,90,US,78,39.62,77.25,25.28
109,Cangzhou,8,CN,98,38.3,81.33,5.95
110,Sorland,64,NO,97,67.67,59.59,5.84
111,Conde,68,BR,90,-11.81,74.26,7.74
113,Provideniya,90,RU,71,64.42,50.0,8.95
114,Santa Maria,0,BR,76,-29.69,55.4,10.29
115,Kenai,90,US,48,60.55,62.6,8.05
